date,current_snapshot,opponent,wins,total,win_pct
2026-08-31T18:37:43-07:00,g_iter56,g_iter1,20,20,100.0
2026-08-31T18:37:43-07:00,g_iter56,g_iter11,16,20,80.0
2026-08-31T18:37:43-07:00,g_iter56,g_iter21,11,20,55.0
2026-08-31T18:37:43-07:00,g_iter56,g_iter31,12,20,60.0
2026-08-31T18:37:43-07:00,g_iter56,g_iter41,10,20,50.0
2026-08-31T18:37:43-07:00,g_iter56,g_iter51,10,20,50.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter1,20,20,100.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter11,16,20,80.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter21,11,20,55.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter31,12,20,60.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter41,10,20,50.0
2026-09-01T07:01:03-07:00,g_iter58,g_iter51,10,20,50.0
